participant,similarity,phase,pathway,var_topk,n_pcs_90,n_pcs_99,run_id,condition_name,routing,dim_hidden,init_scale,log10_init,participant_run
sim_study2_near_sub71,near,post_B,combined,0.48094222711909734,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub71
sim_study2_near_sub71,near,post_A2,combined,0.48094222711909734,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub71
sim_study2_near_sub21,near,post_A,combined,0.466910998508092,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub21
sim_study2_near_sub21,near,post_B,combined,0.466910998508092,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub21
sim_study2_near_sub21,near,post_A2,combined,0.466910998508092,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub21
sim_study2_near_sub36,near,post_A,combined,0.4869930943404416,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub36
sim_study2_near_sub36,near,post_B,combined,0.4869930943404416,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub36
sim_study2_near_sub36,near,post_A2,combined,0.4869930943404416,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub36
sim_study1_near_sub23,near,post_A,combined,0.4599931165974388,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub23
sim_study1_near_sub23,near,post_B,combined,0.4599931165974388,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub23
sim_study1_near_sub23,near,post_A2,combined,0.4599931165974388,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub23
sim_study1_near_sub5,near,post_A,combined,0.44515979406294814,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub5
sim_study1_near_sub5,near,post_B,combined,0.44515979406294814,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub5
sim_study1_near_sub5,near,post_A2,combined,0.44515979406294814,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub5
sim_study2_near_sub37,near,post_A,combined,0.4003213765407633,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub37
sim_study2_near_sub37,near,post_B,combined,0.4003213765407633,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub37
sim_study2_near_sub37,near,post_A2,combined,0.4003213765407633,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study2_near_sub37
