participant,condition,study,A_rule,B_rule,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2,A_LL_B,B_LL_B,A_LL_A2,B_LL_A2
study1_near_sub5,near,1,1.123977,0.600378,0.7836414445368396,0.9143609523293432,8.703315410611298e-06,62.37833081430744,0.367691426331343,22.13598419204009,-41.21006850638248,34.75512447543371,-25.913776998189977,-25.462044901561562
study1_near_sub50,near,1,-1.34192,-0.8183219999999999,0.9114659615221645,1.0227027858322053,0.03247521665692982,2.9845359450124533,0.024507223849695777,2.451950792029333,-71.41427917592746,-53.45845477387232,-84.05517019047981,-67.50749784863208
study1_near_sub52,near,1,1.116638,0.593039,0.09513153607712957,1.6771314370631496,0.015143981627974094,62.47607548755647,5.8541791284289e-06,79.71737317705536,-47.15193533944853,30.639497966933487,-53.42074340473001,46.028401587396694
study1_near_sub53,near,1,-2.382825,-1.8592260000000003,0.9271719527245269,1.393959602997181,0.6711065712967886,0.4544409021076137,0.906937253544167,0.2568969327403187,-100.48283873377466,-100.9360087851154,-116.35419335221934,-122.98288870574467
study1_near_sub54,near,1,-2.465617,-1.942018,0.9807173085636648,2.1944051227569266,0.9807330013051673,0.9336866102799002,0.9908706481349794,1.1892643218842232,-88.96062888976522,-106.81029625484486,-93.40105992101525,-113.35133103297855
study1_near_sub56,near,1,2.25524,1.731641,0.08929053910658645,3.6700383202726634,0.002594081992169085,15.969896246145465,0.018582879789506804,11.69331457807289,-54.79265892961159,-2.7139855408788636,-49.50028224064945,-12.85348824472015
study1_near_sub57,near,1,-1.653313,-1.129715,0.9587228265693235,2.00196897800567,9.921100818763875e-05,11.616122379121876,0.7881734751240926,17.024353081046637,-66.41545357919274,-11.655239186660324,-24.072050146549074,-49.431001122456706
study1_near_sub58,near,1,-2.279597,-1.755998,0.9300194811546143,0.9469642899063497,0.9059669275649505,0.9029199291856203,0.9741805519417214,1.7344248304406136,-89.70106468408329,-94.94619095554074,-81.23229218868757,-98.17222913683017
study1_near_sub59,near,1,2.248123,1.724524,0.9077713149213694,0.8974863987371605,0.0006628261577725123,9.478450064520375,0.009764860297901462,7.409243604028598,-60.218960103066586,-17.448218807356923,-69.21782256934974,-27.526540680243293
study1_near_sub6,near,1,-2.285115,-1.761516,0.9976152458822418,1.4378770542604697,0.6127311956835183,1.2547053426386439,0.9794473980611766,0.7489749792121771,-83.78041608143009,-84.38819816986239,-103.17594656460456,-117.86806058152875
study1_near_sub63,near,1,1.8614109999999997,1.3378120000000002,0.3271519558300999,29.334219675369564,0.23042940795814182,13.958006620838441,0.19778357818898099,26.297261284781847,-40.218846710605256,-26.540904175166787,-43.58948466942409,-9.91779179919845
study1_near_sub66,near,1,2.297936,1.774338,0.9669275053772962,1.6131275418963509,0.015359279619974173,5.627801717367026,0.46084279779880205,19.39357145282669,-68.03599936277764,-32.97608164166249,-42.81142246686392,-40.55534764701941
study1_near_sub67,near,1,2.616228,2.092629,0.9914501607385495,4.1761119261736495,0.08552123900892908,3.474027754069883,0.9666746402065319,2.8176250655749033,-65.30234134120842,-50.142834951036924,-62.076326736065774,-88.6609427614377
study1_near_sub69,near,1,-1.759666,-1.236067,0.9585082408406614,1.4797322042228287,0.23167693982865137,3.3968696299141916,0.9614324719511534,1.7354742428966254,-58.02502686242121,-53.128196814901365,-81.19240035718995,-89.95920115999655
study1_near_sub7,near,1,-1.6102239999999999,-1.086625,0.9361253500913504,2.1158378482123563,0.022778925808632278,1.860820808053314,0.964064359292912,3.093409126631593,-85.3429305127942,-70.71763200579879,-58.078674433987054,-81.60873446553444
study1_near_sub70,near,1,-2.295341,-1.771742,0.9942528103910377,3.5905276986537293,0.902228989175307,1.4898436733100764,0.9906032635686722,2.2263865435698724,-78.38216227812799,-81.41971085579686,-71.5894726627512,-99.64811680149654
study1_near_sub71,near,1,2.154148,1.6305500000000002,0.9926516073691156,1.6794235112810756,0.04186520155316108,8.642340517572329,0.9999798283384753,1.8308210424903886,-49.468600280471556,-21.388528906715216,-79.40400354430686,-110.69995444533953
study1_near_sub72,near,1,2.053247,1.529649,0.9562836768574973,2.460619465334142,0.14733987019968262,2.936036880837882,0.9199141766865471,3.2752242600510835,-61.35980431359207,-56.17608774430336,-56.55445347461796,-70.34365692649655
study1_near_sub74,near,1,2.386924,1.863326,0.9932891420206227,1.760243656714628,0.8044632241687304,1.589999409277108,0.9864169570347734,4.112378615257383,-77.04017297643013,-80.7561267321639,-47.43918419873298,-81.04713058216737
study1_near_sub8,near,1,-2.29747,-1.773871,0.9716724873312166,0.9353779225232474,0.06735257216281085,2.3142010690385346,0.9685492984428552,3.133624809078191,-76.40958866024555,-63.146831664623804,-57.48283331829762,-77.92337178047826
study1_near_sub9,near,1,-2.249584,-1.7259850000000003,0.9694670442851808,1.7182006389224078,0.09145921186750704,1.868795383076143,0.17022727230502238,3.1806741756561867,-79.51414673809141,-71.40016844017858,-67.68070170271504,-59.68544167632763
study2_far_sub11,far,2,2.15637,-0.985223,0.9628633026641389,1.9261995055669916,0.09076406023507148,8.277502363296113,0.9089075115373741,1.0,-158.0391014519084,-45.9005649112016,-101.49371732519705,-147.36124305878877
study2_far_sub12,far,2,-2.51602,0.625573,0.9853986020382902,1.7830296693459482,0.023307438135171984,1.6374442572550172,0.9903948153086404,1.9939181832070534,-145.16182842981553,-76.37710933977931,-76.67976344342132,-165.94057487305503
study2_far_sub13,far,2,2.038107,-1.103485,0.8383685008667079,1.3217325089981211,0.0577646338072153,4.654761479191513,0.970425397482486,1.1553714839803129,-155.80109451799223,-53.40212978652366,-95.7266629943571,-153.04744344241954
study2_far_sub14,far,2,-1.789573,1.3520200000000002,0.7885425177951473,1.3371397372847467,0.24073120407308202,8.657376687171055,0.6622735753101183,1.404708229353656,-141.07054102876597,-82.20992562674955,-111.90880340880736,-136.9461663509373
study2_far_sub15,far,2,1.286435,-1.855158,0.9766327632624643,5.300862190424689,2.9567460065134614e-28,18.845057739040826,1.0,19.9872877126929,-164.5318931507006,1.9088569033173415,3.935768556707722,-182.90673594079996
study2_far_sub16,far,2,2.378427,-0.763166,0.9836636408389198,1.5647556334241282,0.033697273942107385,1.918048903699167,0.7918913406359056,1.3186521487985885,-146.82262793440873,-73.64565665363038,-104.44232633461009,-144.41263938326313
study2_far_sub17,far,2,1.457893,-1.6837,0.7650131831549224,2.115884155984587,0.09234541424835045,8.148527840897959,0.9314101258990735,3.0780202258031877,-153.93235703351357,-58.645922588138845,-70.15077258282255,-169.0055281054864
study2_far_sub18,far,2,1.900866,-1.240727,0.833283598369868,1.4535946276880938,0.5977253443488327,2.306099146304406,0.8615841070439366,1.8357916768681708,-106.35897616051041,-117.61049827887291,-94.75939996497652,-153.91825606322848
study2_far_sub19,far,2,-2.042039,1.099553,0.7894147412629356,1.8835143668584153,0.1107474204147779,11.909444468954998,0.8332947860629212,5.655790701201765,-154.77658394603606,-56.3701124115662,-87.42875771922584,-159.60033726080835
study2_far_sub20,far,2,-1.901891,1.239702,0.9999943801978401,6.752238184376626,0.037036248615774654,11.268472701387395,0.950000286891029,7.706421516593748,-160.58161710159308,-34.66148943292546,-54.614145970077956,-174.58621053077857
study2_far_sub21,far,2,1.1553,-1.986293,0.8847589893950849,2.264977203694716,0.11537707747588925,4.46330575317579,0.9999999999998755,10.101012628219154,-148.44687742279132,-70.73614783190928,-17.37165060368786,-181.3752579119271
study2_far_sub22,far,2,-2.521672,0.61992,0.9983344884295678,2.6581988492577735,5.091491861684175e-35,28.631164215654657,0.984554810712874,3.879914179759241,-165.0331713927579,13.464195594011377,-55.22761259470047,-174.40461297166024
study2_far_sub23,far,2,-1.569261,1.572332,1.0,40.79814415071612,1.2536303600937407e-25,20.35618002236536,0.916666666670996,19.29508986767784,-164.64120235671422,4.049228523194033,-56.11580296127906,-174.1365394693323
